NAME : Thiene
DIMENSION : 1492
NODE_COORD_SECTION
0 45.6981068 11.459611
1 45.6970206 11.4609096
2 45.6932457 11.4649174
3 45.6966269 11.4935341
4 45.7007487 11.4888963
5 45.701484 11.487523
6 45.7031466 11.484126
7 45.7038983 11.4828802
8 45.7042219 11.481532
9 45.7046949 11.4805069
10 45.7049494 11.4800577
11 45.703737 11.4790737
12 45.7039686 11.4792368
13 45.7047315 11.476487
14 45.70445 11.4768163
15 45.7034666 11.478935
16 45.7019227 11.4782201
17 45.7028254 11.4786109
18 45.7010736 11.4777077
19 45.7014764 11.4779582
20 45.7001521 11.4770773
21 45.7056804 11.4802545
22 45.7054888 11.4803052
23 45.7055696 11.4758437
24 45.7070205 11.4773847
25 45.7073078 11.4777163
26 45.7072043 11.4777555
27 45.7049353 11.4788216
28 45.7064714 11.4768455
29 45.7060314 11.4773646
30 45.7044659 11.4796194
31 45.7071477 11.4772715
32 45.7053466 11.4781387
33 45.7070543 11.4772317
34 45.7072343 11.4775344
35 45.6979243 11.4614481
36 45.6994564 11.4653847
37 45.7021955 11.4711866
38 45.7043795 11.4745627
39 45.696628 11.4827363
40 45.6969312 11.4596277
41 45.7058267 11.4760743
42 45.707541 11.4728011
43 45.7063288 11.4751506
44 45.7079375 11.47305
45 45.7092994 11.4744517
46 45.7083468 11.4790884
47 45.7116885 11.4670306
48 45.7114425 11.4670418
49 45.711327 11.467282
50 45.7114717 11.4707678
51 45.711145 11.4710291
52 45.7098942 11.473504
53 45.7095385 11.4740604
54 45.7059722 11.4710848
55 45.705522 11.4719716
56 45.7173452 11.4560022
57 45.713201 11.4688706
58 45.7030496 11.4817688
59 45.7032018 11.4813032
60 45.7034622 11.4806288
61 45.703711 11.480038
62 45.7094139 11.4831584
63 45.7086933 11.484201
64 45.7080695 11.4857411
65 45.709836 11.493548
66 45.7108886 11.495992
67 45.7126724 11.4909239
68 45.7120992 11.4839999
69 45.715863 11.472834
70 45.7137856 11.4693146
71 45.7133864 11.4688718
72 45.7023178 11.4754583
73 45.7029829 11.472436
74 45.702814 11.4847421
75 45.705097 11.4873057
76 45.7062518 11.4859304
77 45.7072571 11.4842915
78 45.7009173 11.4600254
79 45.7019971 11.4615808
80 45.7015825 11.4872885
81 45.6986027 11.4847714
82 45.703309 11.4788541
83 45.7004761 11.481783
84 45.7017506 11.4840208
85 45.7037197 11.4826141
86 45.7017336 11.4802716
87 45.7078161 11.4832868
88 45.700039 11.4857895
89 45.7094685 11.4805846
90 45.7056105 11.4786246
91 45.7066921 11.4770609
